objid,folder,RA,DEC,Z,PLATEID,MJD,FIBERID,SpecFile,centroid_x,centroid_y,semimajor_sigma,semiminor_sigma,ellipticity,orientation_rad,area_px,bkg_median,bkg_std,u_flux,u_mag,u_calib,g_flux,g_mag,g_calib,r_flux,r_mag,r_calib,i_flux,i_mag,i_calib,z_flux,z_mag,z_calib,u_g,g_r,r_i,i_z
1,galaxy_1,256.41353,23.366974,0.010000312700867653,1688,53462,280,Galaxies Spectrography and Analysis 2\data\galaxy_1\spectrum.fits,1879.7727323286363,1024.9497611412512,4.552971301248912,3.9884849519284526,0.1239819695691069,6.740510756868221,1920.0,0.00457000732421875,0.04720608744576813,11149.989179305512,11149.989179305512,uncal,11083.843691004537,11083.843691004537,uncal,12065.764226817766,12065.764226817766,uncal,16199.642301559517,16199.642301559517,uncal,22871.908672434758,22871.908672434758,uncal,66.14548830097556,-981.9205358132294,-4133.878074741751,-6672.266370875241
10,galaxy_10,198.01484,41.718007,0.01001274585723877,1460,53138,200,Galaxies Spectrography and Analysis 2\data\galaxy_10\spectrum.fits,775.1268153895469,607.0589059192204,15.49941702641187,13.542785896595818,0.12623901444046848,3.883859648930954,13193.0,0.0007228851318359375,0.03992612005465476,19499.710182727573,19499.710182727573,uncal,54186.89733308841,54186.89733308841,uncal,86305.60737276005,86305.60737276005,uncal,191771.5364923626,191771.5364923626,uncal,234143.48105798304,234143.48105798304,uncal,-34687.18715036084,-32118.710039671634,-105465.92911960254,-42371.94456562045
11,galaxy_11,203.86816,32.678267,0.010014678351581097,2109,53468,55,Galaxies Spectrography and Analysis 2\data\galaxy_11\spectrum.fits,1338.3847918958259,1424.4393360047948,5.128895777955724,4.879192996814834,0.04868548552187901,5.525160066973193,2117.0,0.0005044937133789062,0.0392565231355437,6702.452423366418,6702.452423366418,uncal,8414.30725529768,8414.30725529768,uncal,8434.585077232634,8434.585077232634,uncal,18161.9984235683,18161.9984235683,uncal,23346.088928002384,23346.088928002384,uncal,-1711.8548319312613,-20.277821934954773,-9727.413346335667,-5184.090504434083
12,galaxy_12,222.71993,62.438953,0.010016446001827717,609,52339,89,Galaxies Spectrography and Analysis 2\data\galaxy_12\spectrum.fits,1635.662774809456,538.2727057450355,5.377857563208692,4.675827678380235,0.13054081045790877,17.084297336492032,2121.0,0.000934600830078125,0.038358521733843465,6706.645787600697,6706.645787600697,uncal,8491.39743171764,8491.39743171764,uncal,9499.012472064192,9499.012472064192,uncal,16631.631283447845,16631.631283447845,uncal,21579.360522378047,21579.360522378047,uncal,-1784.7516441169428,-1007.6150403465526,-7132.618811383652,-4947.729238930202
13,galaxy_13,170.5716,54.081969,0.010018366388976574,1013,52707,151,Galaxies Spectrography and Analysis 2\data\galaxy_13\spectrum.fits,116.4291499347627,195.102074013284,2.568377276027668,1.9358817864989164,0.24626268711853305,-50.6355866664595,420.0,0.003726959228515625,0.050024615342300675,2725.431191477066,2725.431191477066,uncal,5913.549874221138,5913.549874221138,uncal,11602.089200214561,11602.089200214561,uncal,27207.369460892227,27207.369460892227,uncal,40808.808660153445,40808.808660153445,uncal,-3188.1186827440724,-5688.539325993423,-15605.280260677666,-13601.439199261218
14,galaxy_14,171.519519,53.270706,0.010020491667091846,6698,56637,644,Galaxies Spectrography and Analysis 2\data\galaxy_14\spectrum.fits,1051.8966887557579,1129.681578641765,2.1891965170100236,1.9864141214926219,0.0926286854294649,-32.42466716101302,394.0,0.003032684326171875,0.0498848267692522,2909.402549907434,2909.402549907434,uncal,431.25371279099744,431.25371279099744,uncal,588.7951772239787,588.7951772239787,uncal,19309.973724726806,19309.973724726806,uncal,429.250647695529,429.250647695529,uncal,2478.148837116437,-157.5414644329813,-18721.178547502826,18880.723077031278
15,galaxy_15,228.29659,38.42728,0.010022112168371677,1399,53172,629,Galaxies Spectrography and Analysis 2\data\galaxy_15\spectrum.fits,676.1703886629184,771.8485953163683,2.3700100543653733,2.122759556348755,0.10432466206681368,-0.662082888414622,462.0,0.000782012939453125,0.0434995724139337,2687.1298651258594,2687.1298651258594,uncal,2232.7398644935183,2232.7398644935183,uncal,3014.0011001990524,3014.0011001990524,uncal,2604.6950364181153,2604.6950364181153,uncal,11398.829379948524,11398.829379948524,uncal,454.39000063234107,-781.2612357055341,409.30606378093717,-8794.134343530408
2,galaxy_2,175.580997,47.664669,0.010000561363995075,7402,56810,694,Galaxies Spectrography and Analysis 2\data\galaxy_2\spectrum.fits,1684.5484068443259,795.4971335291971,33.40042147532605,18.68029577153695,0.44071676504631296,12.961187563455239,5222.0,0.0006628036499023438,0.03517651841241216,1484.1782094789191,1484.1782094789191,uncal,6154.245898044495,6154.245898044495,uncal,10189.448324147295,10189.448324147295,uncal,12876.307774681738,12876.307774681738,uncal,11926.84347975567,11926.84347975567,uncal,-4670.067688565576,-4035.2024261028,-2686.8594505344427,949.4642949260688
3,galaxy_3,232.74431,0.010497,0.00994447898119688,314,51641,35,Galaxies Spectrography and Analysis 2\data\galaxy_3\spectrum.fits,1590.2425384591265,1351.543498752507,7.169607948131781,6.759091341259347,0.05725788771747342,16.253545917366072,3574.0,-0.0004496574401855469,0.03566127953937094,7231.248762503699,7231.248762503699,uncal,12072.065582360565,12072.065582360565,uncal,15047.520957614393,15047.520957614393,uncal,24401.933713530918,24401.933713530918,uncal,44845.64031611815,44845.64031611815,uncal,-4840.816819856866,-2975.4553752538286,-9354.412755916524,-20443.706602587234
4,galaxy_4,174.6768,39.899248,0.010005967691540718,1972,53466,323,Galaxies Spectrography and Analysis 2\data\galaxy_4\spectrum.fits,903.1131495178283,211.7553950609336,5.123932451869257,4.6651623803656035,0.08953476178950992,-17.168080152767672,2071.0,0.001354217529296875,0.034037328648625576,4403.701468079164,4403.701468079164,uncal,19522.97564030826,19522.97564030826,uncal,38558.86686781552,38558.86686781552,uncal,135717.64543343053,135717.64543343053,uncal,146276.96249202028,146276.96249202028,uncal,-15119.274172229096,-19035.89122750726,-97158.77856561501,-10559.317058589746
